Country;ISO3 Code;Date;Price (EUR/MWhe);Year;;;;ÌÝóïò üñïò áðü Price (EUR/MWhe);ÅôéêÝôåò óôÞëçò;;;;;;;;;;;;EU AVERAGE Åõñþ / MWh;;
Austria;AUT;1/1/2015;29.94;2015;;;;ÅôéêÝôåò ãñáììÞò;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Ãåíéêü ¢èñïéóìá;;EU AVERAGE;GREECE
Belgium;BEL;1/1/2015;42.33;2015;;;;Austria;31.76416667;28.95666667;34.41916667;40.89166667;40.1375;33.09083333;107.5983333;262.435;102.3891667;81.1825;94.795;77.44328125;2015;37.9607197;51.94
Czechia;CZE;1/1/2015;29.47;2015;;;;Belgium;44.69166667;36.585;44.59333333;55.24916667;39.37416667;31.85583333;103.8183333;243.74;97.63166667;70.28416667;85.135;77.304375;2016;34.45184783;42.83083333
Denmark;DNK;1/1/2015;27.12;2015;;;;Bulgaria;;37.83333333;39.6725;39.85916667;47.3825;39.2825;108.3058333;252.2491667;104.0816667;102.4491667;104.01875;91.07514019;2017;41.57670139;54.69916667
Estonia;EST;1/1/2015;33.84;2015;;;;Croatia;;;51.77666667;51.925;49.25166667;38.02666667;114.2841667;271.6858333;104.0141667;94.61583333;103.15125;101.7492632;2018;50.5706;60.3425
Finland;FIN;1/1/2015;33.81;2015;;;;Czechia;32.35;31.125;36.46583333;46.00666667;40.23;33.6;100.3758333;246.605;101.0808333;85.05916667;94.325;76.47953125;2019;45.5619;63.83416667
France;FRA;1/1/2015;40.94;2015;;;;Denmark;23.57833333;27.7575;30.84833333;44.865;39.04416667;26.24583333;87.8425;214.7958333;84.90666667;70.665;80.27;66.00585938;2020;34.54396667;45.06333333
Germany;DEU;1/1/2015;29.94;2015;;;;Estonia;31.09166667;33.07166667;33.21833333;47.05916667;45.85916667;33.67833333;86.52666667;191.9716667;91.01;87.1225;76.095;68.56304688;2021;102.2921667;116.0466667
Greece;GRC;1/1/2015;61.41;2015;;;;Finland;29.67666667;32.43333333;33.20666667;46.77333333;44.03583333;28.005;72.165;153.4791667;56.6075;45.62416667;36.4325;53.09015625;2022;231.2647667;279.3891667
Hungary;HUN;1/1/2015;42.16;2015;;;;France;38.52916667;36.72;44.995;50.20416667;39.485;32.16583333;108.8375;275.0616667;97.25;57.94333333;70.14;77.62046875;2023;97.92873333;119.2391667
Italy;ITA;1/1/2015;50.84;2015;;;;Germany;31.76416667;28.95666667;34.63833333;43.46333333;37.81416667;30.3725;97.275;235.5308333;95.39083333;77.74666667;88.3;72.35804688;2024;82.67226667;100.6675
Latvia;LVA;1/1/2015;39.78;2015;;;;Greece;51.94;42.83083333;54.69916667;60.3425;63.83416667;45.06333333;116.0466667;279.3891667;119.2391667;100.6675;103.30125;94.02375;2025;87.4509;103.30125
Lithuania;LTU;1/1/2015;39.61;2015;;;;Hungary;40.59333333;35.37583333;50.35166667;50.9475;50.31;38.99416667;113.4491667;270.9016667;107.0816667;100.7141667;105.06625;87.0715625;;;
Luxembourg;LUX;1/1/2015;29.94;2015;;;;Ireland;;;;72.03;50.31166667;37.35416667;134.9691667;225.1708333;126.5141667;108.9725;116.85125;112.6555422;;;
Netherlands;NLD;1/1/2015;40.51;2015;;;;Italy;52.305;42.655;53.9125;61.26416667;52.34833333;38.89;125.015;303.0883333;127.4008333;108.4275;117.94;97.86875;;;
Norway;NOR;1/1/2015;29.19;2015;;;;Latvia;41.82916667;36.05;34.7025;49.85916667;46.2775;34.03416667;88.5775;225.9133333;94.09;87.28333333;78.74875;74.16710938;;;
Poland;POL;1/1/2015;33.53;2015;;;;Lithuania;41.90666667;36.50833333;35.1525;49.9625;46.12333333;34.02333333;90.24;229.2266667;94.6375;87.19583333;78.2225;74.73046875;;;
Portugal;PRT;1/1/2015;51.77;2015;;;;Luxembourg;31.76416667;28.95666667;34.63833333;43.46333333;37.81416667;30.3725;97.275;235.5308333;95.39083333;77.74666667;88.3;72.35804688;;;
Romania;ROU;1/1/2015;39.8;2015;;;;Netherlands;40.07;32.2225;39.32916667;52.48916667;41.21583333;32.2275;102.6483333;241.2041667;96.13416667;77.23916667;87.55125;76.23257813;;;
Slovakia;SVK;1/1/2015;31.26;2015;;;;Poland;37.21416667;35.93;36.7475;52.1375;53.44;46.6325;86.82833333;166.2825;111.865;96.18916667;99.9675;74.05421875;;;
Slovenia;SVN;1/1/2015;42.23;2015;;;;Portugal;50.41083333;39.38416667;52.44666667;57.4475;47.89583333;33.98833333;111.4816667;167.9975;88.615;63.3225;65.90875;70.96210938;;;
Spain;ESP;1/1/2015;51.48;2015;;;;Romania;36.37166667;33.12916667;47.98333333;46.38666667;50.35083333;39.4725;111.0341667;264.52;103.9783333;103.4058333;105.24625;85.0121875;;;
Sweden;SWE;1/1/2015;30.24;2015;;;;Slovakia;33.56666667;31.5175;40.96916667;48.44;41.51666667;33.98916667;102.4525;264.0666667;105.0033333;92.6325;101.62875;80.80375;;;
Switzerland;CHE;1/1/2015;44;2015;;;;Slovenia;41.40833333;35.56583333;49.51166667;51.11916667;48.72583333;37.54416667;114.6225;273.6916667;104.6316667;91.285;102.92625;85.9428125;;;
Austria;AUT;1/2/2015;36.69;2015;;;;Spain;50.26333333;39.61333333;52.21;57.29583333;47.705;33.95916667;111.4066667;167.6283333;87.44;62.91083333;64.80875;70.65359375;;;
Belgium;BEL;1/2/2015;50.54;2015;;;;Sweden;22.04666667;29.21416667;31.3525;44.78333333;38.56416667;20.73083333;64.22833333;119.4533333;51.83416667;36.12166667;37.1425;45.28976563;;;
Czechia;CZE;1/2/2015;36.12;2015;;;;Ãåíéêü ¢èñïéóìá;37.9607197;34.33786517;41.24767025;49.90690722;45.5619;34.54396667;102.2921667;231.2647667;97.92873333;82.67226667;87.4509;77.71369558;;;
Denmark;DNK;1/2/2015;29.93;2015;;;;;;;;;;;;;;;;;;;
Estonia;EST;1/2/2015;33.43;2015;;;;;;;;;;;;;;;;;;;
Finland;FIN;1/2/2015;33.15;2015;;;;;;;;;;;;;;;;;;;
France;FRA;1/2/2015;50.14;2015;;;;;;;;;;;;;;;;;;;
Germany;DEU;1/2/2015;36.69;2015;;;;;;;;;;;;;;;;;;;
Greece;GRC;1/2/2015;56.94;2015;;;;;;;;;;;;;;;;;;;
Hungary;HUN;1/2/2015;41.27;2015;;;;;;;;;;;;;;;;;;;
Italy;ITA;1/2/2015;54.52;2015;;;;;;;;;;;;;;;;;;;
Latvia;LVA;1/2/2015;39.44;2015;;;;;;;;;;;;;;;;;;;
Lithuania;LTU;1/2/2015;39.44;2015;;;;;;;;;;;;;;;;;;;
Luxembourg;LUX;1/2/2015;36.69;2015;;;;;;;;;;;;;;;;;;;
Netherlands;NLD;1/2/2015;46.37;2015;;;;;;;;;;;;;;;;;;;
